sample	accession	title	internal_id	cell_type	source	patient	day	replicate	bio_id
ICHseqBatch3g_A06	GSM4975988	Neutrophils from hematoma of ICH patient number 2046 on day 2 of study - replicate 2	ICHseqBatch3g_A06	Neutrophil	Hematoma	2046	2	2	Neutrophil|Hematoma|2046|2
ICHseqBatch3g_C10	GSM4976047	Neutrophils from blood of ICH patient number 2026 on day 3 of study - replicate 2	ICHseqBatch3g_C10	Neutrophil	ICHBlood	2026	3	2	Neutrophil|ICHBlood|2026|3
ICHseqBatch3g_A08	GSM4976028	Neutrophils from hematoma of ICH patient number 2184 on day 4 of study - replicate 2	ICHseqBatch3g_A08	Neutrophil	Hematoma	2184	4	2	Neutrophil|Hematoma|2184|4
ICHseqBatch3g_C02	GSM4976019	Neutrophils from blood of ICH patient number 2184 on day 1 of study - replicate 1	ICHseqBatch3g_C02	Neutrophil	ICHBlood	2184	1	1	Neutrophil|ICHBlood|2184|1
ICHseqBatch3g_D04	GSM4976043	Neutrophils from blood of ICH patient number 2026 on day 2 of study - replicate 2	ICHseqBatch3g_D04	Neutrophil	ICHBlood	2026	2	2	Neutrophil|ICHBlood|2026|2
ICHseqBatch3g_A05	GSM4975992	Neutrophils from hematoma of ICH patient number 2046 on day 3 of study - replicate 2	ICHseqBatch3g_A05	Neutrophil	Hematoma	2046	3	2	Neutrophil|Hematoma|2046|3
ICHseqBatch3g_A07	GSM4975984	Neutrophils from hematoma of ICH patient number 2046 on day 1 of study - replicate 2	ICHseqBatch3g_A07	Neutrophil	Hematoma	2046	1	2	Neutrophil|Hematoma|2046|1
ICHseqBatch3g_C01	GSM4976027	Neutrophils from hematoma of ICH patient number 2184 on day 4 of study - replicate 1	ICHseqBatch3g_C01	Neutrophil	Hematoma	2184	4	1	Neutrophil|Hematoma|2184|4
ICHseqBatch3g_C09	GSM4976044	Neutrophils from hematoma of ICH patient number 2026 on day 2 of study - replicate 1	ICHseqBatch3g_C09	Neutrophil	Hematoma	2026	2	1	Neutrophil|Hematoma|2026|2
ICHseqBatch3g_B08	GSM4976029	Neutrophils from blood of ICH patient number 2184 on day 5 of study - replicate 1	ICHseqBatch3g_B08	Neutrophil	ICHBlood	2184	5	1	Neutrophil|ICHBlood|2184|5
ICHseqBatch3g_B07	GSM4975985	Neutrophils from blood of ICH patient number 2046 on day 2 of study - replicate 1	ICHseqBatch3g_B07	Neutrophil	ICHBlood	2046	2	1	Neutrophil|ICHBlood|2046|2
ICHseqBatch4g_D03	GSM4976053	Neutrophils from blood of ICH patient number 2331 on day 1 of study - replicate 1	ICHseqBatch4g_D03	Neutrophil	ICHBlood	2331	1	1	Neutrophil|ICHBlood|2331|1
ICHseqBatch4g_B02	GSM4976154	Neutrophils from HC blood of ICH patient number HC067371 on day 1 of study - replicate 1	ICHseqBatch4g_B02	Neutrophil	HealthyBlood	HC067371	1	1	Neutrophil|HealthyBlood|HC067371|1
ICHseqBatch4g_D05	GSM4976155	Neutrophils from HC blood of ICH patient number HC067371 on day 1 of study - replicate 2	ICHseqBatch4g_D05	Neutrophil	HealthyBlood	HC067371	1	2	Neutrophil|HealthyBlood|HC067371|1
ICHseqBatch4g_A08	GSM4976039	Neutrophils from blood of ICH patient number 2457 on day 4 of study - replicate 2	ICHseqBatch4g_A08	Neutrophil	ICHBlood	2457	4	2	Neutrophil|ICHBlood|2457|4
ICHseqBatch4g_B06	GSM4976159	Neutrophils from HC blood of ICH patient number HC067591 on day 1 of study - replicate 2	ICHseqBatch4g_B06	Neutrophil	HealthyBlood	HC067591	1	2	Neutrophil|HealthyBlood|HC067591|1
ICHseqBatch4g_D02	GSM4976062	Neutrophils from hematoma of ICH patient number 2331 on day 3 of study - replicate 2	ICHseqBatch4g_D02	Neutrophil	Hematoma	2331	3	2	Neutrophil|Hematoma|2331|3
ICHseqBatch4g_D09	GSM4976162	Neutrophils from HC blood of ICH patient number HC067973 on day 1 of study - replicate 2	ICHseqBatch4g_D09	Neutrophil	HealthyBlood	HC067973	1	2	Neutrophil|HealthyBlood|HC067973|1
ICHseqBatch4g_B10	GSM4975977	Neutrophils from blood of ICH patient number 2132 on day 2 of study - replicate 1	ICHseqBatch4g_B10	Neutrophil	ICHBlood	2132	2	1	Neutrophil|ICHBlood|2132|2
ICHseqBatch4g_D01	GSM4976058	Neutrophils from hematoma of ICH patient number 2331 on day 2 of study - replicate 2	ICHseqBatch4g_D01	Neutrophil	Hematoma	2331	2	2	Neutrophil|Hematoma|2331|2
ICHseqBatch4g_B04	GSM4976161	Neutrophils from HC blood of ICH patient number HC067973 on day 1 of study - replicate 1	ICHseqBatch4g_B04	Neutrophil	HealthyBlood	HC067973	1	1	Neutrophil|HealthyBlood|HC067973|1
ICHseqBatch4g_B01	GSM4976158	Neutrophils from HC blood of ICH patient number HC067591 on day 1 of study - replicate 1	ICHseqBatch4g_B01	Neutrophil	HealthyBlood	HC067591	1	1	Neutrophil|HealthyBlood|HC067591|1
ICHseqBatch4g_C01	GSM4975982	Neutrophils from blood of ICH patient number 2132 on day 5 of study - replicate 1	ICHseqBatch4g_C01	Neutrophil	ICHBlood	2132	5	1	Neutrophil|ICHBlood|2132|5
ICHseqBatch4g_B11	GSM4975978	Neutrophils from blood of ICH patient number 2132 on day 3 of study - replicate 1	ICHseqBatch4g_B11	Neutrophil	ICHBlood	2132	3	1	Neutrophil|ICHBlood|2132|3
ICHseqBatch4g_A05	GSM4976040	Neutrophils from blood of ICH patient number 2457 on day 5 of study - replicate 1	ICHseqBatch4g_A05	Neutrophil	ICHBlood	2457	5	1	Neutrophil|ICHBlood|2457|5
ICHseqBatch4g_C09	GSM4976054	Neutrophils from hematoma of ICH patient number 2331 on day 1 of study - replicate 1	ICHseqBatch4g_C09	Neutrophil	Hematoma	2331	1	1	Neutrophil|Hematoma|2331|1
ICHseqBatch4g_B09	GSM4975976	Neutrophils from blood of ICH patient number 2132 on day 1 of study - replicate 1	ICHseqBatch4g_B09	Neutrophil	ICHBlood	2132	1	1	Neutrophil|ICHBlood|2132|1
ICHseqBatch4g_C03	GSM4975981	Neutrophils from blood of ICH patient number 2132 on day 4 of study - replicate 2	ICHseqBatch4g_C03	Neutrophil	ICHBlood	2132	4	2	Neutrophil|ICHBlood|2132|4
ICHseqBatch4g_D06	GSM4976163	Neutrophils from HC blood of ICH patient number HC067973 on day 1 of study - replicate 3	ICHseqBatch4g_D06	Neutrophil	HealthyBlood	HC067973	1	3	Neutrophil|HealthyBlood|HC067973|1
ICHseqBatch4g_D07	GSM4976056	Neutrophils from blood of ICH patient number 2331 on day 2 of study - replicate 1	ICHseqBatch4g_D07	Neutrophil	ICHBlood	2331	2	1	Neutrophil|ICHBlood|2331|2
ICHseqBatch4g_A04	GSM4976038	Neutrophils from blood of ICH patient number 2457 on day 4 of study - replicate 1	ICHseqBatch4g_A04	Neutrophil	ICHBlood	2457	4	1	Neutrophil|ICHBlood|2457|4
ICHseqBatch4g_A02	GSM4976031	Neutrophils from blood of ICH patient number 2457 on day 2 of study - replicate 1	ICHseqBatch4g_A02	Neutrophil	ICHBlood	2457	2	1	Neutrophil|ICHBlood|2457|2
ICHseqBatch4g_A12	GSM4976037	Neutrophils from hematoma of ICH patient number 2457 on day 3 of study - replicate 2	ICHseqBatch4g_A12	Neutrophil	Hematoma	2457	3	2	Neutrophil|Hematoma|2457|3
ICHseqBatch4g_B08	GSM4976156	Neutrophils from HC blood of ICH patient number HC067371 on day 1 of study - replicate 3	ICHseqBatch4g_B08	Neutrophil	HealthyBlood	HC067371	1	3	Neutrophil|HealthyBlood|HC067371|1
ICHseqBatch4g_A06	GSM4976035	Neutrophils from blood of ICH patient number 2457 on day 3 of study - replicate 2	ICHseqBatch4g_A06	Neutrophil	ICHBlood	2457	3	2	Neutrophil|ICHBlood|2457|3
ICHseqBatch4g_A03	GSM4976034	Neutrophils from blood of ICH patient number 2457 on day 3 of study - replicate 1	ICHseqBatch4g_A03	Neutrophil	ICHBlood	2457	3	1	Neutrophil|ICHBlood|2457|3
ICHseqBatch4g_D08	GSM4976059	Neutrophils from blood of ICH patient number 2331 on day 3 of study - replicate 1	ICHseqBatch4g_D08	Neutrophil	ICHBlood	2331	3	1	Neutrophil|ICHBlood|2331|3
ICHseqBatch4g_A07	GSM4976032	Neutrophils from hematoma of ICH patient number 2457 on day 2 of study - replicate 1	ICHseqBatch4g_A07	Neutrophil	Hematoma	2457	2	1	Neutrophil|Hematoma|2457|2
ICHseqBatch4g_D10	GSM4976063	Neutrophils from blood of ICH patient number 2331 on day 4 of study - replicate 1	ICHseqBatch4g_D10	Neutrophil	ICHBlood	2331	4	1	Neutrophil|ICHBlood|2331|4
ICHseqBatch4g_C12	GSM4976061	Neutrophils from hematoma of ICH patient number 2331 on day 3 of study - replicate 1	ICHseqBatch4g_C12	Neutrophil	Hematoma	2331	3	1	Neutrophil|Hematoma|2331|3
ICHseqBatch4g_A09	GSM4976036	Neutrophils from hematoma of ICH patient number 2457 on day 3 of study - replicate 1	ICHseqBatch4g_A09	Neutrophil	Hematoma	2457	3	1	Neutrophil|Hematoma|2457|3
ICHseqBatch4g_A01	GSM4976030	Neutrophils from blood of ICH patient number 2457 on day 1 of study - replicate 1	ICHseqBatch4g_A01	Neutrophil	ICHBlood	2457	1	1	Neutrophil|ICHBlood|2457|1
ICHseqBatch4g_C02	GSM4975979	Neutrophils from blood of ICH patient number 2132 on day 3 of study - replicate 2	ICHseqBatch4g_C02	Neutrophil	ICHBlood	2132	3	2	Neutrophil|ICHBlood|2132|3
ICHseqBatch4g_D11	GSM4976060	Neutrophils from blood of ICH patient number 2331 on day 3 of study - replicate 2	ICHseqBatch4g_D11	Neutrophil	ICHBlood	2331	3	2	Neutrophil|ICHBlood|2331|3
ICHseqBatch4g_B05	GSM4976160	Neutrophils from HC blood of ICH patient number HC067591 on day 1 of study - replicate 3	ICHseqBatch4g_B05	Neutrophil	HealthyBlood	HC067591	1	3	Neutrophil|HealthyBlood|HC067591|1
ICHseqBatch4g_D12	GSM4976057	Neutrophils from blood of ICH patient number 2331 on day 2 of study - replicate 2	ICHseqBatch4g_D12	Neutrophil	ICHBlood	2331	2	2	Neutrophil|ICHBlood|2331|2
ICHseqBatch4g_C10	GSM4976055	Neutrophils from hematoma of ICH patient number 2331 on day 1 of study - replicate 2	ICHseqBatch4g_C10	Neutrophil	Hematoma	2331	1	2	Neutrophil|Hematoma|2331|1
ICHseqBatch4g_B12	GSM4975980	Neutrophils from blood of ICH patient number 2132 on day 4 of study - replicate 1	ICHseqBatch4g_B12	Neutrophil	ICHBlood	2132	4	1	Neutrophil|ICHBlood|2132|4
ICHseqBatch5g_C01	GSM4976064	Neutrophils from blood of ICH patient number 2133 on day 1 of study - replicate 1	ICHseqBatch5g_C01	Neutrophil	ICHBlood	2133	1	1	Neutrophil|ICHBlood|2133|1
ICHseqBatch5g_E02	GSM4976075	Neutrophils from blood of ICH patient number 2404 on day 2 of study - replicate 1	ICHseqBatch5g_E02	Neutrophil	ICHBlood	2404	2	1	Neutrophil|ICHBlood|2404|2
ICHseqBatch5g_C05	GSM4976070	Neutrophils from blood of ICH patient number 2133 on day 5 of study - replicate 1	ICHseqBatch5g_C05	Neutrophil	ICHBlood	2133	5	1	Neutrophil|ICHBlood|2133|5
ICHseqBatch5g_E11	GSM4976078	Neutrophils from hematoma of ICH patient number 2404 on day 2 of study - replicate 2	ICHseqBatch5g_E11	Neutrophil	Hematoma	2404	2	2	Neutrophil|Hematoma|2404|2
ICHseqBatch5g_D06	GSM4976099	Neutrophils from blood of ICH patient number 2131 on day 3 of study - replicate 2	ICHseqBatch5g_D06	Neutrophil	ICHBlood	2131	3	2	Neutrophil|ICHBlood|2131|3
ICHseqBatch5g_B07	GSM4976011	Neutrophils from blood of ICH patient number 2449 on day 2 of study - replicate 1	ICHseqBatch5g_B07	Neutrophil	ICHBlood	2449	2	1	Neutrophil|ICHBlood|2449|2
ICHseqBatch5g_C02	GSM4976066	Neutrophils from blood of ICH patient number 2133 on day 2 of study - replicate 1	ICHseqBatch5g_C02	Neutrophil	ICHBlood	2133	2	1	Neutrophil|ICHBlood|2133|2
ICHseqBatch5g_D08	GSM4976095	Neutrophils from blood of ICH patient number 2131 on day 1 of study - replicate 1	ICHseqBatch5g_D08	Neutrophil	ICHBlood	2131	1	1	Neutrophil|ICHBlood|2131|1
ICHseqBatch5g_E03	GSM4976079	Neutrophils from blood of ICH patient number 2404 on day 3 of study - replicate 1	ICHseqBatch5g_E03	Neutrophil	ICHBlood	2404	3	1	Neutrophil|ICHBlood|2404|3
ICHseqBatch5g_C07	GSM4976069	Neutrophils from blood of ICH patient number 2133 on day 4 of study - replicate 2	ICHseqBatch5g_C07	Neutrophil	ICHBlood	2133	4	2	Neutrophil|ICHBlood|2133|4
ICHseqBatch5g_B11	GSM4976012	Neutrophils from blood of ICH patient number 2449 on day 2 of study - replicate 2	ICHseqBatch5g_B11	Neutrophil	ICHBlood	2449	2	2	Neutrophil|ICHBlood|2449|2
ICHseqBatch5g_E10	GSM4976074	Neutrophils from hematoma of ICH patient number 2404 on day 1 of study - replicate 2	ICHseqBatch5g_E10	Neutrophil	Hematoma	2404	1	2	Neutrophil|Hematoma|2404|1
ICHseqBatch5g_E06	GSM4976072	Neutrophils from blood of ICH patient number 2404 on day 1 of study - replicate 2	ICHseqBatch5g_E06	Neutrophil	ICHBlood	2404	1	2	Neutrophil|ICHBlood|2404|1
ICHseqBatch5g_B10	GSM4976018	Neutrophils from blood of ICH patient number 2449 on day 5 of study - replicate 1	ICHseqBatch5g_B10	Neutrophil	ICHBlood	2449	5	1	Neutrophil|ICHBlood|2449|5
ICHseqBatch5g_C04	GSM4976068	Neutrophils from blood of ICH patient number 2133 on day 4 of study - replicate 1	ICHseqBatch5g_C04	Neutrophil	ICHBlood	2133	4	1	Neutrophil|ICHBlood|2133|4
ICHseqBatch5g_C03	GSM4976067	Neutrophils from blood of ICH patient number 2133 on day 3 of study - replicate 1	ICHseqBatch5g_C03	Neutrophil	ICHBlood	2133	3	1	Neutrophil|ICHBlood|2133|3
ICHseqBatch5g_D02	GSM4976102	Neutrophils from blood of ICH patient number 2131 on day 4 of study - replicate 1	ICHseqBatch5g_D02	Neutrophil	ICHBlood	2131	4	1	Neutrophil|ICHBlood|2131|4
ICHseqBatch5g_E07	GSM4976076	Neutrophils from blood of ICH patient number 2404 on day 2 of study - replicate 2	ICHseqBatch5g_E07	Neutrophil	ICHBlood	2404	2	2	Neutrophil|ICHBlood|2404|2
ICHseqBatch5g_D07	GSM4976103	Neutrophils from blood of ICH patient number 2131 on day 4 of study - replicate 2	ICHseqBatch5g_D07	Neutrophil	ICHBlood	2131	4	2	Neutrophil|ICHBlood|2131|4
ICHseqBatch5g_B01	GSM4976013	Neutrophils from hematoma of ICH patient number 2449 on day 2 of study - replicate 1	ICHseqBatch5g_B01	Neutrophil	Hematoma	2449	2	1	Neutrophil|Hematoma|2449|2
ICHseqBatch5g_D05	GSM4976097	Neutrophils from blood of ICH patient number 2131 on day 2 of study - replicate 2	ICHseqBatch5g_D05	Neutrophil	ICHBlood	2131	2	2	Neutrophil|ICHBlood|2131|2
ICHseqBatch5g_E09	GSM4976077	Neutrophils from hematoma of ICH patient number 2404 on day 2 of study - replicate 1	ICHseqBatch5g_E09	Neutrophil	Hematoma	2404	2	1	Neutrophil|Hematoma|2404|2
ICHseqBatch5g_D01	GSM4976098	Neutrophils from blood of ICH patient number 2131 on day 3 of study - replicate 1	ICHseqBatch5g_D01	Neutrophil	ICHBlood	2131	3	1	Neutrophil|ICHBlood|2131|3
ICHseqBatch5g_B06	GSM4976010	Neutrophils from blood of ICH patient number 2449 on day 1 of study - replicate 1	ICHseqBatch5g_B06	Neutrophil	ICHBlood	2449	1	1	Neutrophil|ICHBlood|2449|1
ICHseqBatch5g_D10	GSM4976100	Neutrophils from hematoma of ICH patient number 2131 on day 3 of study - replicate 1	ICHseqBatch5g_D10	Neutrophil	Hematoma	2131	3	1	Neutrophil|Hematoma|2131|3
ICHseqBatch5g_E01	GSM4976071	Neutrophils from blood of ICH patient number 2404 on day 1 of study - replicate 1	ICHseqBatch5g_E01	Neutrophil	ICHBlood	2404	1	1	Neutrophil|ICHBlood|2404|1
ICHseqBatch5g_B08	GSM4976015	Neutrophils from blood of ICH patient number 2449 on day 3 of study - replicate 1	ICHseqBatch5g_B08	Neutrophil	ICHBlood	2449	3	1	Neutrophil|ICHBlood|2449|3
ICHseqBatch5g_E08	GSM4976073	Neutrophils from hematoma of ICH patient number 2404 on day 1 of study - replicate 1	ICHseqBatch5g_E08	Neutrophil	Hematoma	2404	1	1	Neutrophil|Hematoma|2404|1
ICHseqBatch5g_B09	GSM4976017	Neutrophils from blood of ICH patient number 2449 on day 4 of study - replicate 1	ICHseqBatch5g_B09	Neutrophil	ICHBlood	2449	4	1	Neutrophil|ICHBlood|2449|4
ICHseqBatch5g_B02	GSM4976014	Neutrophils from hematoma of ICH patient number 2449 on day 2 of study - replicate 2	ICHseqBatch5g_B02	Neutrophil	Hematoma	2449	2	2	Neutrophil|Hematoma|2449|2
ICHseqBatch5g_D03	GSM4976104	Neutrophils from blood of ICH patient number 2131 on day 5 of study - replicate 1	ICHseqBatch5g_D03	Neutrophil	ICHBlood	2131	5	1	Neutrophil|ICHBlood|2131|5
ICHseqBatch5g_E04	GSM4976080	Neutrophils from blood of ICH patient number 2404 on day 4 of study - replicate 1	ICHseqBatch5g_E04	Neutrophil	ICHBlood	2404	4	1	Neutrophil|ICHBlood|2404|4
ICHseqBatch5g_B12	GSM4976016	Neutrophils from blood of ICH patient number 2449 on day 3 of study - replicate 2	ICHseqBatch5g_B12	Neutrophil	ICHBlood	2449	3	2	Neutrophil|ICHBlood|2449|3
ICHseqBatch5g_C08	GSM4976065	Neutrophils from hematoma of ICH patient number 2133 on day 1 of study - replicate 1	ICHseqBatch5g_C08	Neutrophil	Hematoma	2133	1	1	Neutrophil|Hematoma|2133|1
ICHseqBatch5g_D11	GSM4976096	Neutrophils from hematoma of ICH patient number 2131 on day 1 of study - replicate 2	ICHseqBatch5g_D11	Neutrophil	Hematoma	2131	1	2	Neutrophil|Hematoma|2131|1
ICHseqBatch5g_D12	GSM4976101	Neutrophils from hematoma of ICH patient number 2131 on day 3 of study - replicate 2	ICHseqBatch5g_D12	Neutrophil	Hematoma	2131	3	2	Neutrophil|Hematoma|2131|3
ICHSeq7gandtPA_D08	GSM4976157	Neutrophils from HC blood of ICH patient number HC067412 on day 1 of study - replicate 2	ICHSeq7gandtPA_D08	Neutrophil	HealthyBlood	HC067412	1	2	Neutrophil|HealthyBlood|HC067412|1
ICHSeq7gandtPA_C07	GSM4976147	Neutrophils from blood of ICH patient number 2287 on day 2 of study - replicate 1	ICHSeq7gandtPA_C07	Neutrophil	ICHBlood	2287	2	1	Neutrophil|ICHBlood|2287|2
ICHSeq7gandtPA_D10	GSM4976153	Neutrophils from HC blood of ICH patient number HC067076 on day 1 of study - replicate 2	ICHSeq7gandtPA_D10	Neutrophil	HealthyBlood	HC067076	1	2	Neutrophil|HealthyBlood|HC067076|1
ICHSeq7gandtPA_C10	GSM4976151	Neutrophils from blood of ICH patient number 2287 on day 5 of study - replicate 1	ICHSeq7gandtPA_C10	Neutrophil	ICHBlood	2287	5	1	Neutrophil|ICHBlood|2287|5
ICHSeq7gandtPA_D03	GSM4976149	Neutrophils from hematoma of ICH patient number 2287 on day 3 of study - replicate 1	ICHSeq7gandtPA_D03	Neutrophil	Hematoma	2287	3	1	Neutrophil|Hematoma|2287|3
ICHSeq7gandtPA_C09	GSM4976150	Neutrophils from blood of ICH patient number 2287 on day 4 of study - replicate 1	ICHSeq7gandtPA_C09	Neutrophil	ICHBlood	2287	4	1	Neutrophil|ICHBlood|2287|4
ICHSeq7gandtPA_D04	GSM4976146	Neutrophils from hematoma of ICH patient number 2287 on day 1 of study - replicate 2	ICHSeq7gandtPA_D04	Neutrophil	Hematoma	2287	1	2	Neutrophil|Hematoma|2287|1
ICHSeq7gandtPA_D01	GSM4976145	Neutrophils from hematoma of ICH patient number 2287 on day 1 of study - replicate 1	ICHSeq7gandtPA_D01	Neutrophil	Hematoma	2287	1	1	Neutrophil|Hematoma|2287|1
ICHSeq7gandtPA_D09	GSM4976152	Neutrophils from HC blood of ICH patient number HC067076 on day 1 of study - replicate 1	ICHSeq7gandtPA_D09	Neutrophil	HealthyBlood	HC067076	1	1	Neutrophil|HealthyBlood|HC067076|1
ICHSeq7gandtPA_C06	GSM4976144	Neutrophils from blood of ICH patient number 2287 on day 1 of study - replicate 1	ICHSeq7gandtPA_C06	Neutrophil	ICHBlood	2287	1	1	Neutrophil|ICHBlood|2287|1
ICHSeq7gandtPA_C08	GSM4976148	Neutrophils from blood of ICH patient number 2287 on day 3 of study - replicate 1	ICHSeq7gandtPA_C08	Neutrophil	ICHBlood	2287	3	1	Neutrophil|ICHBlood|2287|3
ICHseqBatch3g_A09	GSM4976023	Neutrophils from blood of ICH patient number 2184 on day 2 of study - replicate 2	ICHseqBatch3g_A09	Neutrophil	ICHBlood	2184	2	2	Neutrophil|ICHBlood|2184|2
ICHseqBatch4g_A11	GSM4976033	Neutrophils from hematoma of ICH patient number 2457 on day 2 of study - replicate 2	ICHseqBatch4g_A11	Neutrophil	Hematoma	2457	2	2	Neutrophil|Hematoma|2457|2
ICHseqBatch2g_D01	GSM4976126	Neutrophils from hematoma of ICH patient number 2129 on day 4 of study - replicate 2	ICHseqBatch2g_D01	Neutrophil	Hematoma	2129	4	2	Neutrophil|Hematoma|2129|4
ICHseqBatch3g_B05	GSM4976024	Neutrophils from hematoma of ICH patient number 2184 on day 2 of study - replicate 1	ICHseqBatch3g_B05	Neutrophil	Hematoma	2184	2	1	Neutrophil|Hematoma|2184|2
ICHseqBatch2g_D09	GSM4976121	Neutrophils from blood of ICH patient number 2129 on day 3 of study - replicate 2	ICHseqBatch2g_D09	Neutrophil	ICHBlood	2129	3	2	Neutrophil|ICHBlood|2129|3
ICHseqBatch3g_A12	GSM4976025	Neutrophils from hematoma of ICH patient number 2184 on day 2 of study - replicate 2	ICHseqBatch3g_A12	Neutrophil	Hematoma	2184	2	2	Neutrophil|Hematoma|2184|2
ICHseqBatch3g_D05	GSM4976052	Neutrophils from blood of ICH patient number 2026 on day 5 of study - replicate 1	ICHseqBatch3g_D05	Neutrophil	ICHBlood	2026	5	1	Neutrophil|ICHBlood|2026|5
